Stop ID,Stop Abbreviation,Stop Name,Shelter?,Bench?,Route Numbers,Route Name,Latitude,Longitude,ZIP Code
1223,JEF27AWN,JEFFERSON ST & 27TH AVE WB,False,False,"21,60",UNIVERSITY CONNECTOR,36.167987,-86.818532,37208
1550,MURRURSF,MURFREESBORO PIKE & RURAL HILL RD S,True,False,"15,96",MURFREESBORO PIKE,36.073386,-86.637707,37217
4280,NXOJOYNR,JOYNER STATION OUTBOUND,False,False,52,NOLENSVILLE PK BRT LITE,36.116599,-86.74822,37210
5402,OLDGOOEN,OLD HICKORY BLVD & GOODMORNING DR E,False,False,43,HICKORY HILLS,36.277338,-86.769987,37115
31,12ADIVNN,12TH AVE S & DIVISION ST NB,False,False,"17,2,93",BELMONT,36.150417,-86.784338,37203
1419,MARWEDSN,MARTIN ST & WEDGEWOOD AVE SB,False,False,1,100 OAKS,36.133607,-86.770473,37203
279,8A9ANM,8TH AVE N & 9TH AVE N NB,False,True,"22,42",BORDEAUX,36.169933,-86.789091,37219
825,DRDMEHNN,DR DB TODD BLVD & MEHARRY BLVD NB,False,False,21,UNIVERSITY CONNECTOR,36.167561,-86.805789,37208
4958,BRIBRIWN,BRICKMONT DR & BRICKMONT CT WB,False,False,23,DICKERSON ROAD,36.246422,-86.771292,37207
4835,31AWELWF,31ST AVE & WELLINGTON AVE WB,False,False,21,UNIVERSITY CONNECTOR,36.139736,-86.813305,37212
